created_at, text
10/25/2015 18:36:34, Great numbers from Also from Post Thank 
10/25/2015 17:53:31, Do you believe that is still playing up the old Iowa poll numbers and no mention of the ABCWashington Post or just out CBS 
10/25/2015 16:11:58, Poll New Hampshire TRUMP CARSON BUSH South Carolina TRUMP CARSON CRUZ Iowa TRUMP CARSON 
10/25/2015 14:29:51, Watch my interview on Face The Nation now and also the new CBS POLLS which if good for me the media wont 
10/25/2015 13:40:57, Big poll comes out today on Face The Nation at on 
10/25/2015 11:18:17, A big POLL will be announced this morning on Face The I wonder if I do well if the press will report the Doubt it
10/25/2015 3:47:03, Donald Trump Tops Poll of Bay State Thanks great news
10/25/2015 3:32:03, Donald Trump Leads in Expectations Shows Strength on Attributes ABC News via 
10/24/2015 10:58:11, YouGov National Poll Donald Trump Continues To Dominate Field With All The Last Refuge 
10/21/2015 14:40:53, RT A New Poll shows will most likely win the GOP 
10/21/2015 13:07:36, RT New poll shows with a commanding lead points above his closest competition 
10/21/2015 13:07:01, RT New poll finds lean Republicans think most likely to be GOP nominee and has best 
10/21/2015 11:33:11, New poll by ABC Post TRUMP CARSON RUBIO BUSH Wow how will the media put a negative spin on this 
10/21/2015 11:13:23, now beats nationally 
10/21/2015 10:41:40, I will be interviewed on Good Morning America at will be announcing new poll MAKE AMERICA GREAT 
10/21/2015 10:36:45, Just Boston Pierce Poll TRUMP CARSON BUSH RUBIO CRUZ Press will say they are 
10/21/2015 3:47:04, Donald Trump still dominating all polls debate cable news The GOP nomination is his he rarely 
10/21/2015 2:46:47, I will be interviewed on Good Morning America tomorrow at Big new ABC poll coming out I hope I do 
10/21/2015 0:25:53, hits his highest poll number make small gains 
10/21/2015 0:21:43, Had my best day ever in the polls one had me at Morning Boston Globe Monmouth NBC and CNN all 
10/20/2015 19:42:19, Donald Trump tops poll at percent in 
10/20/2015 19:33:05, Lots of great new 
10/20/2015 2:56:26, Since late July DJT consistently been the in public opinion polls for the Republican Party 
10/19/2015 17:42:17, NEW Trump Blue Collar Support highest since FDR in 
10/18/2015 21:12:55, Quit Jeb Your poll is even lower than your apprentice 
10/18/2015 12:38:08, Donald Trump is so far ahead in two key state Thanks Clayton
10/17/2015 23:50:02, Good news for those that want to Make America Great Again I am winning every poll in every STATE and NATIONAL and by big Thanks
10/17/2015 16:01:57, Via Business Donald Trumps Poll Dominance in Key States is 
10/16/2015 21:28:18, A great new 
10/16/2015 12:57:25, Keep up the great work Polls are best 
